"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.856775708E0,1.600084570E0,-1.334855014E-1,-6.935014111E-1,1.749009210E0
1.866811708E0,2.385371625E0,-5.417071080E-1,-6.594138980E-2,2.446996659E0
1.876848708E0,2.457719225E0,-1.121147468E0,-3.587600094E-1,2.725080582E0
1.886885708E0,1.680444316E0,-1.812569609E0,-4.372068393E-1,2.510070021E0
1.896921708E0,8.275283647E-1,-2.124847763E0,-8.622292507E-1,2.437872123E0
1.906958708E0,4.434849948E-2,-2.000343000E0,-1.350051343E0,2.413706182E0
1.916995708E0,-3.633073890E-1,-1.525595282E0,-1.522337798E0,2.185622473E0
1.927031708E0,-4.937779199E-1,-8.808695894E-1,-1.285830204E0,1.634963969E0
1.937068708E0,-7.311279514E-1,-2.803430003E-1,-8.351847088E-1,1.144846617E0
1.947104708E0,-8.948689932E-1,2.086801100E-1,-4.504870355E-2,9.199822221E-1
1.957141708E0,-6.484518304E-1,5.877398980E-1,4.830384851E-3,8.751864354E-1
1.967178708E0,-1.795698930E-1,9.181268781E-1,-5.589540553E-1,1.089785276E0
1.977214708E0,1.917961286E-1,1.113913878E0,-1.490465795E0,1.870582307E0
1.987251708E0,4.763390377E-2,1.100223792E0,-1.700179693E0,2.025678249E0
1.997288708E0,-3.463282442E-1,1.196857216E0,-1.690813622E0,2.100300254E0
2.007324708E0,-6.000295758E-1,1.516560749E0,-1.294444907E0,2.082205469E0
2.017361708E0,-5.503858379E-1,2.085267375E0,-4.854604018E-1,2.210641626E0
2.027397708E0,-5.664066240E-2,2.767430450E0,5.556585646E-1,2.823231465E0
2.037434708E0,8.183574454E-1,3.156562652E0,1.530761881E0,3.602336550E0
2.047471708E0,1.407262255E0,3.149186974E0,2.206105349E0,4.094467788E0
2.057507708E0,1.247793043E0,2.888595868E0,2.477720795E0,4.005006106E0
2.067544708E0,-2.933291985E0,1.992269164E0,2.029582586E0,4.085650960E0
2.077581708E0,-2.155279596E0,2.451235247E0,6.918717921E-1,3.336535771E0
2.087617708E0,-7.576314797E-1,1.838764551E0,1.411675733E-1,1.993737399E0
2.097654708E0,1.473521733E0,9.676194656E-1,5.764512634E-1,1.854683204E0
2.107691708E0,2.110224461E0,-3.376240790E-2,2.566540293E0,3.322847612E0
