Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Labels
1.82770025,0.3391695712,0.3257358125,0.3635494637,0.594397199,freestyle
1.83773725,0.3192007815,0.2580095601,0.3938696158,0.5688508999,freestyle
1.84777525,0.2359826602,0.1169361269,0.4715013438,0.5400698019,freestyle
1.85781225,0.1442996344,-0.02351706281,0.5147415036,0.5351020952,freestyle
1.86784925,0.07779566936,-0.1666384833,0.4793822211,0.5134470413,freestyle
1.87788725,0.01008787226,-0.2574224997,0.454553774,0.5224818102,freestyle
1.88792425,-0.0653740637,-0.3286439252,0.4391223872,0.5523667882,freestyle
1.89796125,-0.1036416051,-0.4503847092,0.3928580475,0.6065685568,freestyle
1.90799925,-0.1267910973,-0.4710370749,0.2302615982,0.5394184942,freestyle
1.91803625,-0.1162031419,-0.4796579904,0.08116344631,0.5001624366,freestyle
1.92807425,-0.07994174369,-0.4546926454,-0.01519866765,0.4619167497,freestyle
1.93811125,0.01070153754,-0.3344768152,-0.04466395676,0.3376153608,freestyle
1.94814825,0.05506966174,-0.1704013127,0.01266974688,0.1795265927,freestyle
1.95818625,-0.1319663582,-0.0420283974,0.2041999733,0.2467369754,freestyle
1.96822325,-0.4259733879,-0.0008889960498,0.333928054,0.5412596999,freestyle
1.97826025,-0.5944496876,0.01614189662,0.4983581901,0.7758813553,freestyle
1.98829825,-0.6197867328,0.0283568763,0.6324289978,0.8859492896,freestyle
1.99833525,-0.5947565202,-0.01339465544,0.7566484165,0.9625131487,freestyle
2.00837225,-0.4920152036,-0.04103268966,0.8793130606,1.008441422,freestyle
2.01841025,-0.3639349414,-0.05496514276,0.953000257,1.021606235,freestyle
2.02844725,-0.2410903493,-0.08771240093,0.8906385326,0.9268522091,freestyle
2.03848425,-0.1133736377,-0.101726642,0.7069260335,0.7231502667,freestyle
2.04852225,-0.001557478979,-0.1147939995,0.3940105337,0.4103954053,freestyle
2.05855925,0.08351073794,-0.1375859345,0.07842344105,0.1790367806,freestyle
2.06859625,0.1944847514,-0.127092302,-0.2257697672,0.3239579595,freestyle
2.07863425,0.2822715582,-0.1567245291,-0.458522864,0.5607878631,freestyle
2.08867125,0.3236272334,-0.1511951096,-0.6565130943,0.7473981472,freestyle
